# Ra        |Nu        |Nuv       |sigma     |res       |fname           
 1.778e+04      1.764      1.801  -5.67e-02   2.71e-08  b'Ra1.778e+04_'
 1.820e+04      1.775      1.812  -5.55e-02   1.13e-08  b'Ra1.820e+04_'
 1.862e+04      1.785      1.823  -5.45e-02   1.94e-08  b'Ra1.862e+04_'
 1.905e+04      1.796      1.833  -5.34e-02   3.17e-08  b'Ra1.905e+04_'
 1.950e+04      1.807      1.844  -5.23e-02   4.30e-08  b'Ra1.950e+04_'
 1.995e+04      1.817      1.854  -5.12e-02   7.10e-08  b'Ra1.995e+04_'
 2.042e+04      1.828      1.865  -5.01e-02   1.69e-08  b'Ra2.042e+04_'
 2.089e+04      1.839      1.875  -4.91e-02   2.19e-08  b'Ra2.089e+04_'
 2.138e+04      1.849      1.886  -4.80e-02   3.89e-08  b'Ra2.138e+04_'
 2.188e+04      1.860      1.896  -4.70e-02   1.67e-08  b'Ra2.188e+04_'
 2.239e+04      1.870      1.907  -4.59e-02   1.79e-08  b'Ra2.239e+04_'
 2.291e+04      1.881      1.917  -4.49e-02   3.37e-08  b'Ra2.291e+04_'
 2.344e+04      1.891      1.927  -4.38e-02   4.46e-08  b'Ra2.344e+04_'
 2.399e+04      1.902      1.937  -4.28e-02   2.52e-08  b'Ra2.399e+04_'
 2.455e+04      1.912      1.948  -4.18e-02   2.11e-08  b'Ra2.455e+04_'
 2.512e+04      1.923      1.958  -4.08e-02   1.21e-08  b'Ra2.512e+04_'
 2.570e+04      1.933      1.968  -3.98e-02   7.33e-08  b'Ra2.570e+04_'
 2.630e+04      1.944      1.978  -3.88e-02   9.27e-09  b'Ra2.630e+04_'
 2.692e+04      1.955      1.988  -3.77e-02   2.96e-09  b'Ra2.692e+04_'
 2.754e+04      1.965      1.998  -3.68e-02   1.11e-08  b'Ra2.754e+04_'
 2.818e+04      1.976      2.008  -3.58e-02   8.35e-09  b'Ra2.818e+04_'
 2.884e+04      1.986      2.018  -3.48e-02   8.63e-09  b'Ra2.884e+04_'
 2.951e+04      1.997      2.028  -3.38e-02   7.26e-09  b'Ra2.951e+04_'
 3.020e+04      2.008      2.038  -3.28e-02   1.54e-08  b'Ra3.020e+04_'
 3.090e+04      2.018      2.048  -3.18e-02   1.06e-07  b'Ra3.090e+04_'
 3.162e+04      2.029      2.058  -3.09e-02   3.78e-08  b'Ra3.162e+04_'
 3.236e+04      2.040      2.068  -2.99e-02   6.44e-08  b'Ra3.236e+04_'
 3.311e+04      2.050      2.078  -2.89e-02   8.62e-08  b'Ra3.311e+04_'
 3.388e+04      2.061      2.088  -2.80e-02   5.58e-08  b'Ra3.388e+04_'
 3.467e+04      2.072      2.098  -2.70e-02   3.30e-08  b'Ra3.467e+04_'
 3.548e+04      2.083      2.108  -2.61e-02   5.87e-08  b'Ra3.548e+04_'
 3.631e+04      2.093      2.118  -2.51e-02   3.58e-08  b'Ra3.631e+04_'
 3.715e+04      2.104      2.128  -2.42e-02   1.11e-08  b'Ra3.715e+04_'
 3.802e+04      2.115      2.138  -2.32e-02   2.53e-08  b'Ra3.802e+04_'
 3.890e+04      2.126      2.148  -2.23e-02   8.39e-09  b'Ra3.890e+04_'
 3.981e+04      2.137      2.157  -2.14e-02   3.55e-08  b'Ra3.981e+04_'
 4.074e+04      2.148      2.167  -2.04e-02   2.52e-08  b'Ra4.074e+04_'
 4.169e+04      2.159      2.177  -1.95e-02   7.69e-08  b'Ra4.169e+04_'
 4.266e+04      2.170      2.187  -1.85e-02   3.63e-08  b'Ra4.266e+04_'
 4.365e+04      2.181      2.196  -1.76e-02   9.56e-09  b'Ra4.365e+04_'
 4.467e+04      2.192      2.206  -1.67e-02   2.05e-08  b'Ra4.467e+04_'
 4.571e+04      2.203      2.215  -1.57e-02   3.76e-09  b'Ra4.571e+04_'
 4.677e+04      2.214      2.225  -1.48e-02   3.75e-09  b'Ra4.677e+04_'
 4.786e+04      2.225      2.234  -1.38e-02   1.05e-08  b'Ra4.786e+04_'
 4.898e+04      2.236      2.244  -1.29e-02   5.92e-08  b'Ra4.898e+04_'
 5.012e+04      2.247      2.253  -1.19e-02   1.21e-08  b'Ra5.012e+04_'
 5.129e+04      2.258      2.262  -1.09e-02   1.36e-08  b'Ra5.129e+04_'
 5.248e+04      2.269      2.271  -9.98e-03   1.43e-08  b'Ra5.248e+04_'
 5.370e+04      2.280      2.280  -9.01e-03   2.93e-08  b'Ra5.370e+04_'
 5.495e+04      2.291      2.289  -8.03e-03   2.36e-08  b'Ra5.495e+04_'
 5.623e+04      2.301      2.298  -7.03e-03   1.01e-08  b'Ra5.623e+04_'
 5.754e+04      2.312      2.307  -6.03e-03   4.82e-09  b'Ra5.754e+04_'
 5.888e+04      2.323      2.315  -5.02e-03   2.98e-08  b'Ra5.888e+04_'
 6.026e+04      2.334      2.323  -3.98e-03   6.40e-09  b'Ra6.026e+04_'
 6.166e+04      2.344      2.332  -2.94e-03   8.37e-09  b'Ra6.166e+04_'
 6.310e+04      2.355      2.340  -1.88e-03   2.74e-08  b'Ra6.310e+04_'
 6.457e+04      2.365      2.347  -8.02e-04   3.12e-08  b'Ra6.457e+04_'
 6.607e+04      2.375      2.355   2.95e-04   1.82e-08  b'Ra6.607e+04_'
 6.761e+04      2.385      2.362   1.42e-03   2.74e-08  b'Ra6.761e+04_'
 6.918e+04      2.395      2.369   2.57e-03   2.17e-08  b'Ra6.918e+04_'
 7.079e+04      2.405      2.375   3.75e-03   3.27e-08  b'Ra7.079e+04_'
 7.244e+04      2.414      2.382   4.96e-03   7.97e-09  b'Ra7.244e+04_'
 7.413e+04      2.423      2.387   6.21e-03   5.26e-09  b'Ra7.413e+04_'
 7.586e+04      2.432      2.393   7.51e-03   1.40e-08  b'Ra7.586e+04_'
 7.762e+04      2.440      2.397   8.85e-03   8.78e-09  b'Ra7.762e+04_'
 7.943e+04      2.448      2.402   1.03e-02   2.07e-08  b'Ra7.943e+04_'
 8.128e+04      2.455      2.405   1.17e-02   4.04e-08  b'Ra8.128e+04_'
 8.318e+04      2.461      2.407   1.33e-02   4.69e-09  b'Ra8.318e+04_'
 8.511e+04      2.467      2.409   1.49e-02   8.42e-09  b'Ra8.511e+04_'
 8.710e+04      2.471      2.409   1.67e-02   4.20e-08  b'Ra8.710e+04_'
 8.913e+04      2.474      2.408   1.86e-02   6.83e-08  b'Ra8.913e+04_'
 9.120e+04      2.475      2.404   2.07e-02   1.29e-08  b'Ra9.120e+04_'
 9.333e+04      2.474      2.398   2.30e-02   1.91e-08  b'Ra9.333e+04_'
 9.550e+04      2.470      2.388   2.56e-02   1.51e-08  b'Ra9.550e+04_'
 9.772e+04      2.460      2.371   2.89e-02   2.96e-08  b'Ra9.772e+04_'
 1.000e+05      2.436      2.340   3.35e-02   6.16e-08  b'Ra1.000e+05_'
 1.023e+05      2.381      2.273   4.14e-02   2.32e-04  b'Ra1.023e+05_'
 1.047e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.072e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.096e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.122e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.148e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.175e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.202e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.230e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.259e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.288e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.318e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.349e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.380e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.413e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.445e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.479e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.514e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.549e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.585e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.622e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.660e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.698e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.738e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.778e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.820e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.862e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.905e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.950e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.995e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 2.042e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 2.089e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 2.138e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 2.188e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 2.239e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 2.291e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 2.344e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 2.399e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 2.455e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 2.512e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 2.570e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 2.630e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 2.692e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 2.754e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 2.818e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 2.884e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 2.951e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 3.020e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 3.090e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 3.162e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 3.236e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 3.311e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 3.388e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 3.467e+05      0.000      0.000   0.00e+00   0.00e+00              b''
