# Ra        |Nu        |Nuv       |sigma     |res       |fname           
 1.820e+04      4.452      1.712  -7.14e-02   4.67e-09  b'Ra1.820e+04_'
 1.862e+04      4.455      1.722  -7.05e-02   3.99e-09  b'Ra1.862e+04_'
 1.905e+04      4.458      1.732  -6.96e-02   4.75e-09  b'Ra1.905e+04_'
 1.950e+04      4.461      1.742  -6.87e-02   4.61e-09  b'Ra1.950e+04_'
 1.995e+04      4.465      1.752  -6.79e-02   4.47e-09  b'Ra1.995e+04_'
 2.042e+04      4.468      1.762  -6.70e-02   4.50e-09  b'Ra2.042e+04_'
 2.089e+04      4.471      1.772  -6.62e-02   4.10e-09  b'Ra2.089e+04_'
 2.138e+04      4.475      1.782  -6.53e-02   4.30e-09  b'Ra2.138e+04_'
 2.188e+04      4.478      1.792  -6.45e-02   3.87e-09  b'Ra2.188e+04_'
 2.239e+04      4.481      1.802  -6.37e-02   4.39e-09  b'Ra2.239e+04_'
 2.291e+04      4.485      1.812  -6.29e-02   4.51e-09  b'Ra2.291e+04_'
 2.344e+04      4.489      1.822  -6.21e-02   5.06e-09  b'Ra2.344e+04_'
 2.399e+04      4.492      1.832  -6.13e-02   5.09e-09  b'Ra2.399e+04_'
 2.455e+04      4.496      1.842  -6.05e-02   2.93e-09  b'Ra2.455e+04_'
 2.512e+04      4.500      1.852  -5.97e-02   4.14e-09  b'Ra2.512e+04_'
 2.570e+04      4.504      1.862  -5.90e-02   3.64e-09  b'Ra2.570e+04_'
 2.630e+04      4.508      1.872  -5.82e-02   4.84e-09  b'Ra2.630e+04_'
 2.692e+04      4.512      1.882  -5.75e-02   3.96e-09  b'Ra2.692e+04_'
 2.754e+04      4.516      1.892  -5.67e-02   3.46e-09  b'Ra2.754e+04_'
 2.818e+04      4.521      1.902  -5.60e-02   3.96e-09  b'Ra2.818e+04_'
 2.884e+04      4.525      1.912  -5.53e-02   5.55e-09  b'Ra2.884e+04_'
 2.951e+04      4.530      1.923  -5.45e-02   7.31e-09  b'Ra2.951e+04_'
 3.020e+04      4.534      1.933  -5.38e-02   4.33e-09  b'Ra3.020e+04_'
 3.090e+04      4.539      1.943  -5.31e-02   4.48e-09  b'Ra3.090e+04_'
 3.162e+04      4.544      1.954  -5.24e-02   5.67e-09  b'Ra3.162e+04_'
 3.236e+04      4.549      1.964  -5.18e-02   4.57e-09  b'Ra3.236e+04_'
 3.311e+04      4.554      1.974  -5.11e-02   4.33e-09  b'Ra3.311e+04_'
 3.388e+04      4.559      1.985  -5.04e-02   5.40e-09  b'Ra3.388e+04_'
 3.467e+04      4.564      1.996  -4.97e-02   4.95e-09  b'Ra3.467e+04_'
 3.548e+04      4.570      2.006  -4.91e-02   7.47e-09  b'Ra3.548e+04_'
 3.631e+04      4.575      2.017  -4.84e-02   5.00e-09  b'Ra3.631e+04_'
 3.715e+04      4.581      2.028  -4.78e-02   5.72e-09  b'Ra3.715e+04_'
 3.802e+04      4.586      2.038  -4.72e-02   4.49e-09  b'Ra3.802e+04_'
 3.890e+04      4.592      2.049  -4.65e-02   3.72e-09  b'Ra3.890e+04_'
 3.981e+04      4.598      2.060  -4.59e-02   3.96e-09  b'Ra3.981e+04_'
 4.074e+04      4.604      2.071  -4.53e-02   4.25e-09  b'Ra4.074e+04_'
 4.169e+04      4.610      2.082  -4.47e-02   4.10e-09  b'Ra4.169e+04_'
 4.266e+04      4.617      2.093  -4.41e-02   4.79e-09  b'Ra4.266e+04_'
 4.365e+04      4.623      2.104  -4.35e-02   6.27e-09  b'Ra4.365e+04_'
 4.467e+04      4.630      2.116  -4.29e-02   4.63e-09  b'Ra4.467e+04_'
 4.571e+04      4.636      2.127  -4.23e-02   3.97e-09  b'Ra4.571e+04_'
 4.677e+04      4.643      2.138  -4.18e-02   4.27e-09  b'Ra4.677e+04_'
 4.786e+04      4.650      2.149  -4.12e-02   3.96e-09  b'Ra4.786e+04_'
 4.898e+04      4.657      2.161  -4.07e-02   4.19e-09  b'Ra4.898e+04_'
 5.012e+04      4.664      2.172  -4.01e-02   4.25e-09  b'Ra5.012e+04_'
 5.129e+04      4.671      2.184  -3.96e-02   4.43e-09  b'Ra5.129e+04_'
 5.248e+04      4.679      2.195  -3.90e-02   4.01e-09  b'Ra5.248e+04_'
 5.370e+04      4.686      2.207  -3.85e-02   3.43e-09  b'Ra5.370e+04_'
 5.495e+04      4.694      2.219  -3.80e-02   4.94e-09  b'Ra5.495e+04_'
 5.623e+04      4.702      2.230  -3.75e-02   4.20e-09  b'Ra5.623e+04_'
 5.754e+04      4.709      2.242  -3.69e-02   4.24e-09  b'Ra5.754e+04_'
 5.888e+04      4.717      2.254  -3.64e-02   4.14e-09  b'Ra5.888e+04_'
 6.026e+04      4.726      2.266  -3.59e-02   4.03e-09  b'Ra6.026e+04_'
 6.166e+04      4.734      2.278  -3.54e-02   3.60e-09  b'Ra6.166e+04_'
 6.310e+04      4.742      2.290  -3.49e-02   4.07e-09  b'Ra6.310e+04_'
 6.457e+04      4.751      2.302  -3.45e-02   5.19e-09  b'Ra6.457e+04_'
 6.607e+04      4.759      2.315  -3.40e-02   7.60e-09  b'Ra6.607e+04_'
 6.761e+04      4.768      2.327  -3.35e-02   4.22e-09  b'Ra6.761e+04_'
 6.918e+04      4.777      2.339  -3.31e-02   3.04e-09  b'Ra6.918e+04_'
 7.079e+04      4.786      2.351  -3.26e-02   3.70e-09  b'Ra7.079e+04_'
 7.244e+04      4.795      2.364  -3.21e-02   3.33e-09  b'Ra7.244e+04_'
 7.413e+04      4.804      2.376  -3.17e-02   2.98e-09  b'Ra7.413e+04_'
 7.586e+04      4.813      2.389  -3.13e-02   3.67e-09  b'Ra7.586e+04_'
 7.762e+04      4.823      2.401  -3.08e-02   4.02e-09  b'Ra7.762e+04_'
 7.943e+04      4.832      2.414  -3.04e-02   2.92e-09  b'Ra7.943e+04_'
 8.128e+04      4.842      2.427  -3.00e-02   3.64e-09  b'Ra8.128e+04_'
 8.318e+04      4.852      2.439  -2.95e-02   3.80e-09  b'Ra8.318e+04_'
 8.511e+04      4.861      2.452  -2.91e-02   4.33e-09  b'Ra8.511e+04_'
 8.710e+04      4.871      2.465  -2.87e-02   3.87e-09  b'Ra8.710e+04_'
 8.913e+04      4.882      2.478  -2.83e-02   2.72e-08  b'Ra8.913e+04_'
 9.120e+04      4.892      2.491  -2.79e-02   4.52e-09  b'Ra9.120e+04_'
 9.333e+04      4.902      2.504  -2.75e-02   2.99e-09  b'Ra9.333e+04_'
 9.550e+04      4.913      2.517  -2.71e-02   3.43e-09  b'Ra9.550e+04_'
 9.772e+04      4.923      2.530  -2.67e-02   4.13e-09  b'Ra9.772e+04_'
 1.000e+05      4.934      2.543  -2.63e-02   3.21e-09  b'Ra1.000e+05_'
