# Ra        |Nu        |Nuv       |sigma     |res       |fname           
 2.884e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 2.951e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 3.020e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 3.090e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 3.162e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 3.236e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 3.311e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 3.388e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 3.467e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 3.548e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 3.631e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 3.715e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 3.802e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 3.890e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 3.981e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 4.074e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 4.169e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 4.266e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 4.365e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 4.467e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 4.571e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 4.677e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 4.786e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 4.898e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 5.012e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 5.129e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 5.248e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 5.370e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 5.495e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 5.623e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 5.754e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 5.888e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 6.026e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 6.166e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 6.310e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 6.457e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 6.607e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 6.761e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 6.918e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 7.079e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 7.244e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 7.413e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 7.586e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 7.762e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 7.943e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 8.128e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 8.318e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 8.511e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 8.710e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 8.913e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 9.120e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 9.333e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 9.550e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 9.772e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 1.000e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.023e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.047e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.072e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.096e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.122e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.148e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.175e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.202e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.230e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.259e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.288e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.318e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.349e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.380e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.413e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.445e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.479e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.514e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.549e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.585e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.622e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.660e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.698e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.738e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.778e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.820e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.862e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.905e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.950e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.995e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 2.042e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 2.089e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 2.138e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 2.188e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 2.239e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 2.291e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 2.344e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 2.399e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 2.455e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 2.512e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 2.570e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 2.630e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 2.692e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 2.754e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 2.818e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 2.884e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 2.951e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 3.020e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 3.090e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 3.162e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 3.236e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 3.311e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 3.388e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 3.467e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 3.548e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 3.631e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 3.715e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 3.802e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 3.890e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 3.981e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 4.074e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 4.169e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 4.266e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 4.365e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 4.467e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 4.571e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 4.677e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 4.786e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 4.898e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 5.012e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 5.129e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 5.248e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 5.370e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 5.495e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 5.623e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 5.754e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 5.888e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 6.026e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 6.166e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 6.310e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 6.457e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 6.607e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 6.761e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 6.918e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 7.079e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 7.244e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 7.413e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 7.586e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 7.762e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 7.943e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 8.128e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 8.318e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 8.511e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 8.710e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 8.913e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 9.120e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 9.333e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 9.550e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 9.772e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.000e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.023e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.047e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.072e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.096e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.122e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.148e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.175e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.202e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.230e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.259e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.288e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.318e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.349e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.380e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.413e+06      0.000      0.000   0.00e+00   0.00e+00              b''
